date,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela
2021-01-02,8081.0,1100.857,35683.286,2501.143,11643.571,748.429,0.0,8.857,650.857,1370.143,57.857,579.571,304.571
2021-01-03,8203.0,1116.857,35622.714,2583.714,11617.571,751.286,0.0,9.286,664.429,1793.286,59.286,585.0,273.429
2021-01-04,8346.714,1153.857,35280.143,2659.0,11760.571,760.286,0.0,11.571,637.571,1688.286,68.571,588.571,253.0
2021-01-05,8652.429,1197.286,35524.714,2730.714,12592.0,822.429,0.0,15.143,665.714,1509.571,69.714,591.714,257.286
2021-01-06,8891.857,1229.857,36511.429,2647.571,13330.0,837.857,0.0,12.571,676.571,1646.0,69.286,652.571,255.286
2021-01-07,9213.143,1252.429,41297.143,2886.143,13510.286,839.0,0.0,19.571,703.429,983.0,77.143,669.714,252.0
2021-01-08,10536.857,1452.714,46532.429,2973.857,14384.0,824.286,0.0,17.286,806.429,1577.571,82.429,655.143,254.714
2021-01-09,11367.857,1534.714,51681.0,3120.0,14993.571,833.714,0.0,27.143,901.143,1577.571,86.429,671.286,298.429
2021-01-10,11642.714,1605.0,53372.0,3390.286,15868.571,922.286,0.0,30.857,951.429,1154.429,87.857,766.143,340.0
2021-01-11,11711.571,1659.571,54187.429,3607.286,16538.857,918.0,0.0,29.857,956.857,2244.143,81.571,782.143,368.0
2021-01-12,11710.571,1641.857,55093.286,3719.143,16159.429,926.286,0.0,35.143,970.571,2553.571,84.571,820.286,376.714
2021-01-13,11608.286,1691.0,54710.429,3863.143,16029.857,991.143,0.429,41.286,985.429,2601.857,83.0,775.286,414.714
2021-01-14,11529.857,1732.143,51904.714,3933.714,15964.857,1088.143,0.429,39.429,969.143,2601.857,78.571,883.143,441.857
2021-01-15,11385.0,1776.429,53263.429,3971.286,16373.0,1102.571,0.429,48.0,970.714,4263.286,79.286,943.857,455.571
2021-01-16,11081.429,1840.286,54270.857,3964.429,17095.857,1494.143,0.429,44.286,946.0,4263.286,74.429,956.429,447.714
2021-01-17,11003.714,1898.143,54612.143,3987.0,17359.0,1487.429,0.429,47.714,918.143,4912.429,74.143,884.571,456.143
2021-01-18,10929.571,1920.714,54353.0,3979.714,17318.429,1448.286,0.429,49.0,864.714,3626.143,80.0,851.714,494.429
2021-01-19,10695.0,2047.0,54028.0,4002.286,17569.857,1428.714,0.429,42.429,824.143,3316.714,75.857,800.0,545.429
2021-01-20,10607.429,2132.429,54692.286,4030.714,17857.0,1428.571,0.429,45.571,836.429,4711.857,76.571,831.286,554.286
2021-01-21,10337.429,2196.714,53352.429,4056.429,17606.286,1455.286,0.429,46.0,839.714,4711.857,82.857,714.714,549.286
2021-01-22,10111.857,2095.429,51567.857,4126.571,16748.429,1470.286,0.429,48.286,797.286,3840.571,76.571,746.286,562.714
2021-01-23,10030.429,2044.143,51546.857,4164.857,15990.714,1060.571,0.429,53.0,776.143,3840.571,75.857,756.857,562.714
2021-01-24,9711.429,1979.143,51133.0,4182.571,15296.0,1401.429,0.429,55.714,784.571,4767.286,75.714,750.714,558.0
2021-01-25,9624.714,2012.143,51361.143,4204.0,14944.857,1417.571,0.429,55.143,825.429,4767.286,69.714,739.714,524.0
2021-01-26,9377.286,2016.857,51283.857,4192.714,14611.571,1368.286,1.286,56.571,862.143,6667.429,66.429,747.714,486.857
2021-01-27,9196.0,2047.0,51326.0,4164.0,14046.571,1317.143,0.857,52.143,816.571,4860.714,65.714,719.143,466.714
2021-01-28,8921.0,2047.571,51584.571,4148.0,13604.286,1401.571,0.857,57.571,771.286,5822.286,59.0,699.286,443.429
2021-01-29,8790.286,2162.143,51998.571,4097.571,12887.857,1361.286,0.857,55.0,788.0,5254.0,59.857,622.714,425.857
2021-01-30,8581.714,2201.143,51258.0,4036.143,11976.714,1649.571,0.857,51.286,781.0,7159.286,57.571,602.0,439.714
2021-01-31,8573.714,2256.857,51169.571,3999.857,11342.714,1362.286,0.857,49.0,796.429,6328.714,54.429,586.429,459.714
2021-02-01,8436.0,2211.571,50878.143,3958.571,10965.714,1345.571,0.857,48.143,773.571,6328.714,48.143,583.857,462.0
2021-02-02,8334.0,2174.0,50116.714,3933.571,10463.571,1304.714,0.0,47.429,726.857,5068.143,46.143,569.571,461.0
2021-02-03,8098.714,2053.286,48637.0,3822.429,10045.286,1265.0,0.0,47.714,723.714,7299.714,44.714,555.286,479.571
2021-02-04,8015.857,1929.714,48115.143,3727.714,9691.0,1048.429,0.571,44.286,729.429,6338.143,43.143,559.571,487.286
2021-02-05,7806.714,1788.286,46999.0,3610.0,9289.571,1246.429,0.571,51.286,714.857,6481.0,36.429,539.143,493.571
2021-02-06,7775.0,1675.857,46027.0,3597.429,9200.143,1048.0,0.571,51.143,722.143,5717.571,35.286,518.714,474.286
2021-02-07,7586.857,1590.286,45778.714,3539.571,8904.571,1064.857,0.571,48.714,698.714,6922.714,33.286,510.429,455.571
2021-02-08,7378.286,1555.429,45792.429,3494.571,8136.571,1088.714,0.571,52.714,737.714,6922.714,34.429,503.143,464.286
2021-02-09,7106.714,1472.143,45069.429,3450.571,7472.429,1214.857,1.714,51.857,762.429,7723.143,30.429,498.0,477.714
2021-02-10,6898.571,1436.429,46025.714,3418.714,6817.857,1098.0,1.714,54.0,795.429,5491.571,26.143,509.0,451.571
2021-02-11,6672.857,1374.286,45525.286,3438.571,6318.429,1267.714,1.143,50.714,821.714,6452.143,24.286,492.857,436.143
2021-02-12,6498.143,1312.571,45132.714,3493.143,6072.714,1157.857,1.143,42.0,815.429,6751.0,22.714,503.571,432.571
2021-02-13,6409.143,1272.571,44925.0,3473.429,5558.429,1201.714,1.143,38.286,834.286,6814.714,20.571,521.0,442.857
2021-02-14,6493.0,1252.143,45576.571,3474.714,5403.286,1277.286,1.143,35.571,846.286,6942.857,18.857,514.0,443.143
2021-02-15,6222.286,1136.714,45179.714,3455.857,5298.143,1299.143,1.143,29.857,878.571,7400.429,17.286,530.0,425.857
2021-02-16,5680.714,996.429,47189.286,3407.143,5099.143,1184.286,0.143,31.571,913.857,5960.429,15.714,510.286,404.429
2021-02-17,5441.429,856.143,45206.0,3391.143,4907.714,1163.286,0.143,31.571,922.286,6850.143,13.286,490.0,406.143
2021-02-18,5492.857,810.0,45188.143,3405.0,4697.714,1092.429,0.143,29.0,978.143,6947.857,10.429,499.714,421.857
2021-02-19,5597.857,796.857,45647.429,3352.571,4547.429,1108.429,0.143,25.143,1012.286,7070.714,10.857,507.0,407.857
2021-02-20,5581.714,819.286,46721.0,3349.857,4557.429,1081.429,0.143,27.429,1041.143,6967.857,8.857,529.143,408.571
2021-02-21,5505.143,794.286,46544.143,3321.571,4460.429,1064.286,0.143,27.0,1096.571,6858.714,9.286,558.0,407.143
2021-02-22,5813.429,861.714,47406.714,3352.571,4444.857,1038.143,0.143,27.857,1080.429,6401.143,8.286,564.286,424.0
2021-02-23,6309.714,953.429,47164.0,3325.429,4427.286,1101.0,0.0,27.143,1082.0,6893.714,8.571,606.857,437.0
2021-02-24,6612.429,1032.0,49758.429,3365.429,4263.0,1508.571,0.0,20.571,1093.0,6966.857,8.571,666.571,446.571
2021-02-25,6692.857,1042.571,51872.714,3457.429,4100.0,1615.571,0.0,21.0,1081.0,6951.714,9.0,706.143,441.429
2021-02-26,6292.429,1030.714,53478.143,3570.0,3970.143,1617.571,0.0,22.286,1131.286,7794.143,8.429,737.857,454.429
2021-02-27,6224.571,968.0,54342.0,3653.286,3731.0,1607.143,0.0,21.571,1115.143,7762.857,9.0,742.714,448.0
2021-02-28,6147.286,959.714,54896.286,3595.0,3632.571,1640.286,0.0,23.571,1108.0,5793.429,8.714,739.857,435.429
2021-03-01,6038.857,941.571,56116.143,3823.0,3656.714,1628.429,0.0,24.0,1112.857,6642.286,9.143,754.143,428.571
2021-03-02,5921.143,882.429,55560.429,3885.0,3715.714,1563.571,0.0,24.857,1105.714,7362.857,8.429,742.571,421.143
2021-03-03,5874.286,810.286,56633.714,3954.286,3586.286,1527.571,0.0,27.286,1138.143,6400.0,8.714,742.857,419.714
2021-03-04,5759.714,791.143,57739.857,3967.857,3569.429,1223.714,0.0,30.571,1160.143,6310.0,8.286,750.0,441.286
2021-03-05,6160.857,772.286,59041.286,4074.429,3541.429,1210.143,0.0,30.857,1172.571,4783.429,7.571,769.571,437.286
2021-03-06,6073.857,771.857,60253.571,4152.143,3587.143,1228.0,0.0,31.714,1204.571,4918.714,7.429,806.857,449.429
2021-03-07,6038.714,751.857,67156.286,4451.429,3566.571,1192.571,0.0,31.714,1224.143,5871.571,6.857,834.714,460.286
2021-03-08,6095.857,709.857,66613.429,4394.714,3371.571,1178.714,0.0,31.286,1344.571,5910.143,6.714,873.0,461.286
2021-03-09,6189.286,723.429,68270.429,4507.429,3253.286,1198.429,0.0,31.571,1493.571,5960.857,6.571,908.0,483.857
2021-03-10,6166.143,724.429,69494.429,4628.143,3330.571,1052.714,0.0,40.0,1591.714,5960.857,5.286,915.714,419.714
2021-03-11,6276.429,697.143,69644.286,4770.429,3475.429,1174.571,0.0,42.0,1645.286,6069.714,5.429,967.429,473.857
2021-03-12,6270.429,718.143,71068.0,4862.143,3576.429,1163.714,0.0,48.571,1683.143,6389.143,6.571,1020.714,490.0
2021-03-13,6473.0,722.0,71559.286,4985.143,3691.0,1103.286,0.0,49.857,1729.0,6330.857,7.286,1017.571,499.143
